datetime;open;high;low;close;volume
2026-06-12 15:55:00;1995.040039;1995.040039;1975.18994;1979.040039;287948
2026-06-12 15:50:00;1991;1997.030029;1982.81995;1997;193895
2026-06-12 15:45:00;1985.28003;1991.51001;1980.27002;1990.33496;118367
2026-06-12 15:40:00;1981.77502;1991.80005;1977;1986.38000;111341
2026-06-12 15:35:00;1975.71997;1992.27002;1970.95007;1982.77502;113694
2026-06-12 15:30:00;1980.70105;1981.89990;1968.26001;1975.58997;113037
2026-06-12 15:25:00;1981.37000;1988.81494;1978.89258;1981.18176;96309
2026-06-12 15:20:00;1979.81006;1982.99988;1975.98352;1980.73999;61766
2026-06-12 15:15:00;1982.95996;1984.69995;1978.89001;1980.66504;63501
2026-06-12 15:10:00;1985.035034;1986;1973.34998;1980.99207;120308
2026-06-12 15:05:00;1991.94995;1995;1984.31152;1985.35999;49733
2026-06-12 15:00:00;1986.73999;1995.90002;1986.010010;1991.43005;43944
2026-06-12 14:55:00;1995.36499;1996;1985.9;1986;60399
2026-06-12 14:50:00;1997.069946;1999.60999;1991.11011;1995.375;45926
2026-06-12 14:45:00;1992.74719;1997.38000;1988.56995;1997.38000;47566
2026-06-12 14:40:00;2000;2001.72986;1992.14197;1993.64502;40712
2026-06-12 14:35:00;1997.5;2001.16;1995;1997.65503;45965
2026-06-12 14:30:00;1996.020020;2001.75403;1992.23230;1997.52002;54805
2026-06-12 14:25:00;1989.68994;1999;1987.54004;1996.099976;48075
2026-06-12 14:20:00;1991.030029;1994.19360;1987.32996;1990.93066;42303
2026-06-12 14:15:00;1984.66003;1991.45996;1982.59998;1991.18005;49024
2026-06-12 14:10:00;1991.73999;2000.99719;1984.53003;1984.66003;70867
2026-06-12 14:05:00;1991.50012;1994.51;1986.16016;1992.47998;61510
2026-06-12 14:00:00;1998;2000.79993;1991.010010;1991.75;51732
2026-06-12 13:55:00;2001.10498;2002;1993.62000;1998.81494;176780
2026-06-12 13:50:00;2003.93994;2005.99988;1997.18005;2001.10498;68520
2026-06-12 13:45:00;2004.5;2009.89001;2002;2003.5;63267
2026-06-12 13:40:00;2009.5;2010.89001;2004.20007;2005.25;47433
2026-06-12 13:35:00;2003.70007;2010.089966;2003.70007;2008.42004;33959
2026-06-12 13:30:00;2010.42004;2011.87000;2003.28003;2005.010010;40100
2026-06-12 13:25:00;2011.64001;2014.20862;2003.65002;2010.26001;48477
2026-06-12 13:20:00;2014.13501;2015.98999;2009;2012.35242;47849
2026-06-12 13:15:00;2011.98999;2016;2006.92627;2014.31995;57525
2026-06-12 13:10:00;2009.52991;2011.98865;2001.22009;2011.98865;59522
2026-06-12 13:05:00;2007.074829;2012.74;2004.020020;2008.29504;54119
2026-06-12 13:00:00;2013;2015.90991;2002.020020;2007.98999;80421
2026-06-12 12:55:00;2009.66931;2015.99902;2000;2012.56494;105029
2026-06-12 12:50:00;2014.21997;2021.65002;2007;2010.11499;178732
2026-06-12 12:45:00;2007;2014.58997;2002;2013.00012207;133351
2026-06-12 12:40:00;1988;2011.85986;1988;2005.60498;267211
2026-06-12 12:35:00;1989;1991.80005;1985;1989.5;69576
2026-06-12 12:30:00;1981.82996;1991.99988;1980.53;1990.95996;121210
2026-06-12 12:25:00;1982.089966;1984.78003;1975.20007;1981.74500;42863
2026-06-12 12:20:00;1979.50500;1985.32483;1973.76;1981.44995;49745
2026-06-12 12:15:00;1982.99988;1989;1974.30005;1980.52002;77703
2026-06-12 12:10:00;1972.20996;1988;1966.66003;1982;107098
2026-06-12 12:05:00;1963;1977;1959.00012207;1973;80745
2026-06-12 12:00:00;1954.54980;1967.97998;1951.6;1963;95768
2026-06-12 11:55:00;1972;1973.2;1950.020020;1953.65002;73770
2026-06-12 11:50:00;1963.84998;1978.46985;1955.85999;1971;68882
2026-06-12 11:45:00;1970.92505;1979.39966;1958;1959.63000;98324
2026-06-12 11:40:00;1988.88000;1992.97998;1970.42004;1970.42004;131338
2026-06-12 11:35:00;1989.98999;1995.060059;1979.32166;1987.16504;137586
2026-06-12 11:30:00;1988;1992.33997;1984;1989.71997;139388
2026-06-12 11:25:00;1984.75;1990.07;1982.010010;1988.94995;122436
2026-06-12 11:20:00;1988.010010;1989.0098877;1977.94995;1984.93005;89591
2026-06-12 11:15:00;1981.49500;1989.18005;1977.88000;1988;95018
2026-06-12 11:10:00;1974.97998;1984.93994;1969.57007;1981;128203
2026-06-12 11:05:00;1968.20996;1977.25;1965.87000;1974.90002;90501
2026-06-12 11:00:00;1967.48999;1972;1961.8;1967.089966;87670
2026-06-12 10:55:00;1972.34497;1981.18005;1967.40015;1967.40015;183097
2026-06-12 10:50:00;1937.30005;1973.59851;1936.5;1972.41003;197297
2026-06-12 10:45:00;1946.90991;1954.28003;1936;1939.079956;193115
2026-06-12 10:40:00;1964.17004;1965.45996;1944;1948;191893
2026-06-12 10:35:00;1972.34998;1978;1962.73999;1964.17004;113706
2026-06-12 10:30:00;1972.76001;1983.27002;1963.60999;1973.58997;164592
2026-06-12 10:25:00;1967.70996;1983.16992;1967.18994;1970.68005;113072
2026-06-12 10:20:00;1985.93994;1987.32642;1966.19995;1966.90002;213057
2026-06-12 10:15:00;1993.99390;1995;1982.68005;1985.53003;173012
2026-06-12 10:10:00;1988.43994;1996;1980;1994.38501;206437
2026-06-12 10:05:00;1990;1990;1977.12000;1989.87866;220133
2026-06-12 10:00:00;1967.75;1996.77002;1966.94;1988.62000;331760
2026-06-12 09:55:00;1953.28003;1982.55005;1947.16003;1968.28003;381347
2026-06-12 09:50:00;1931;1957.68005;1928.51;1954.17505;334493
2026-06-12 09:45:00;1912.28003;1942.93005;1910.40002;1932.47998;281004
2026-06-12 09:40:00;1936.53503;1949.14001;1902.12756;1910.65002;436650
2026-06-12 09:35:00;1892.26001;1941.28003;1890.96997;1936.91858;580618
2026-06-12 09:30:00;1888.020020;1894.98999;1865.25;1892.26001;990470
2026-06-11 15:55:00;1894.38000;1894.38000;1878;1882.40002;340868
2026-06-11 15:50:00;1870;1895.55;1860.010010;1892.49500;322759
2026-06-11 15:45:00;1870.33997;1877.79993;1865.57996;1870.00012207;137609
2026-06-11 15:40:00;1869.030029;1878.99988;1866.33997;1871.38000;141297
2026-06-11 15:35:00;1889.089966;1891;1862.40002;1869.80005;235970
2026-06-11 15:30:00;1879.13000;1889.87988;1878.00012207;1889.29004;198205
2026-06-11 15:25:00;1870.14001;1887.97998;1869.8;1878.56494;217142
2026-06-11 15:20:00;1865.19995;1871.38000;1861.50012;1870.64001;143225
2026-06-11 15:15:00;1861.57214;1866.225;1856.089966;1865.99988;167930
2026-06-11 15:10:00;1847.69495;1863.95996;1845.41003;1861.77002;206895
2026-06-11 15:05:00;1843.34497;1848.63000;1833.060059;1848;130081
2026-06-11 15:00:00;1835.92505;1845.89001;1835.92505;1843.97998;116271
2026-06-11 14:55:00;1828.43506;1839.30005;1823.00012207;1835.92505;103482
2026-06-11 14:50:00;1831.46997;1838.37756;1827.010010;1828.43506;138984
2026-06-11 14:45:00;1828.68506;1831.70996;1826.66003;1831.27002;107348
2026-06-11 14:40:00;1826.41956;1830.99988;1822.19995;1828.75;65737
2026-06-11 14:35:00;1828.56042;1830.78003;1822.5;1825.51001;82390
2026-06-11 14:30:00;1815.32996;1831.99988;1815;1828.43994;183309
2026-06-11 14:25:00;1818.66504;1820;1814;1815.29504;52132
2026-06-11 14:20:00;1824.00012207;1825;1808.00012207;1818.66504;100732
2026-06-11 14:15:00;1820.19995;1828.65002;1819;1824.010010;193936
2026-06-11 14:10:00;1818.22998;1822.53003;1813.19995;1820;81882
2026-06-11 14:05:00;1816.5;1818.39990;1806.66016;1817.27002;108897
2026-06-11 14:00:00;1822.25;1830;1811.82996;1817.34998;123479
2026-06-11 13:55:00;1818.18005;1823.93994;1812;1820;105915
2026-06-11 13:50:00;1811.15564;1822;1803.00024414;1818.64502;138763
2026-06-11 13:45:00;1825.30005;1826.27991;1807.78015;1810.56494;140802
2026-06-11 13:40:00;1821.94995;1829.35046;1817.020020;1824.99402;164809
2026-06-11 13:35:00;1829.0050049;1831.93994;1815.20996;1821.94995;215658
2026-06-11 13:30:00;1802.060059;1831.49988;1802.060059;1829.91260;400755
2026-06-11 13:25:00;1769.010010;1802.35999;1767.060059;1801.24500;284733
2026-06-11 13:20:00;1765;1770.82996;1761.56995;1769.95496;50945
2026-06-11 13:15:00;1765.84998;1770;1757.53003;1763.57996;76598
2026-06-11 13:10:00;1770.10999;1773;1764.010010;1767;40252
2026-06-11 13:05:00;1768.91003;1773.24988;1765.00012207;1770;38476
2026-06-11 13:00:00;1766.79004;1775.74561;1762.51001;1767.10498;67407
2026-06-11 12:55:00;1770;1772.99988;1764.13013;1765.59155;57040
2026-06-11 12:50:00;1777.86499;1777.96997;1769.20996;1769.47998;58249
2026-06-11 12:45:00;1775.040039;1781.78;1770.5;1777.86499;60013
2026-06-11 12:40:00;1773.25;1777.35999;1769.19995;1775.14001;46535
2026-06-11 12:35:00;1772.00012207;1782.29004;1770.99500;1773.125;82388
2026-06-11 12:30:00;1762.5;1777;1759.26013;1772.88501;71687
2026-06-11 12:25:00;1770.37000;1772.49;1761.6;1762.62000;54941
2026-06-11 12:20:00;1774.20996;1776.54004;1765;1770.36987;98479
2026-06-11 12:15:00;1780;1782.49988;1768.00012207;1773.15002;73792
2026-06-11 12:10:00;1768.64001;1783;1768.34497;1779.62854;171671
2026-06-11 12:05:00;1762.96997;1774.050049;1759.69995;1769.62000;92184
2026-06-11 12:00:00;1765.89502;1770.66003;1755.60999;1761.18994;72496
2026-06-11 11:55:00;1755.35999;1769.61987;1753.00012207;1766.68005;100551
2026-06-11 11:50:00;1763.53003;1763.53003;1750.58057;1755.55005;64575
2026-06-11 11:45:00;1755.21313;1767;1750;1761.76501;116461
2026-06-11 11:40:00;1748.54004;1759;1748.34998;1753.22998;89914
2026-06-11 11:35:00;1740;1755.98999;1738.55005;1749.78003;142287
2026-06-11 11:30:00;1721.057007;1740;1721.057007;1737.30005;67392
2026-06-11 11:25:00;1730.55005;1734.85986;1721;1723;78649
2026-06-11 11:20:00;1733.089966;1744.10999;1730;1732.42004;74945
2026-06-11 11:15:00;1737.56494;1747.75;1727.050049;1733.31995;89033
2026-06-11 11:10:00;1735.97876;1743;1730.40015;1738.58997;81608
2026-06-11 11:05:00;1727;1743.53003;1723.26099;1734.98999;121702
2026-06-11 11:00:00;1717.95764;1732.64001;1711.010010;1728;175503
2026-06-11 10:55:00;1738;1738.56494;1710.040039;1716.93994;158197
2026-06-11 10:50:00;1749.84998;1752.70996;1737.96497;1738;80767
2026-06-11 10:45:00;1742.63000;1752;1740;1747.59998;85105
2026-06-11 10:40:00;1754.81995;1760;1741.15002;1742.60999;72031
2026-06-11 10:35:00;1750;1764.98987;1748;1753.51501;112079
2026-06-11 10:30:00;1754.61499;1761.69995;1741.10010;1750;94094
2026-06-11 10:25:00;1762.78003;1771.65002;1740;1751.53003;130109
2026-06-11 10:20:00;1735.79004;1772.55005;1735;1765.050049;180646
2026-06-11 10:15:00;1754.94995;1761.83997;1733;1735.79004;303583
2026-06-11 10:10:00;1776.29504;1778.99988;1748.94995;1753.97498;292143
2026-06-11 10:05:00;1780.060059;1783.83;1768.050049;1776.59998;285108
2026-06-11 10:00:00;1732;1783.95996;1728.79;1780.79504;456232
2026-06-11 09:55:00;1727.84497;1737;1724.12000;1731.020020;177932
2026-06-11 09:50:00;1718.22998;1736.25;1716;1727.37000;225527
2026-06-11 09:45:00;1697.44995;1735.44995;1693.11133;1717.12000;347486
2026-06-11 09:40:00;1693.54504;1699.89966;1681.23999;1698.040039;167896
2026-06-11 09:35:00;1715.53003;1726.89001;1685.60010;1693.54504;305118
2026-06-11 09:30:00;1672.26001;1724;1665;1715.53003;1167219
2026-06-10 15:55:00;1646.98999;1650;1640.87;1641.67004;133522
2026-06-10 15:50:00;1639.31995;1648;1633.82996;1644.76001;82711
