Etc/UTC,Open,High,Low,Close,Volume
2026-06-12T01:30:00+00:00,140.89599999999999,141.197,140.596,141.096,152870
2026-06-12T01:31:00+00:00,141.096,141.09700000000001,140.89599999999999,140.89599999999999,54060
2026-06-12T01:32:00+00:00,140.995,140.99700000000001,140.79599999999999,140.89699999999999,61500
2026-06-12T01:33:00+00:00,140.99600000000001,140.99700000000001,140.99600000000001,140.99600000000001,14880
2026-06-12T01:34:00+00:00,140.89699999999999,141.096,140.89599999999999,141.096,35360
2026-06-12T01:35:00+00:00,140.99600000000001,141.09700000000001,140.99600000000001,141.09700000000001,7440
2026-06-12T01:36:00+00:00,140.99700000000001,140.99700000000001,140.99600000000001,140.99700000000001,9920
2026-06-12T01:37:00+00:00,140.99600000000001,140.99600000000001,140.797,140.89699999999999,9920
2026-06-12T01:38:00+00:00,141.196,141.196,141.09700000000001,141.196,16440
2026-06-12T01:39:00+00:00,141.29499999999999,141.297,141.29499999999999,141.297,11480
2026-06-12T01:40:00+00:00,141.297,141.297,141.196,141.197,14880
2026-06-12T01:45:00+00:00,141.297,141.297,141.197,141.297,27700
2026-06-12T01:46:00+00:00,141.29599999999999,141.297,141.196,141.29599999999999,32660
2026-06-12T01:47:00+00:00,141.29599999999999,141.29599999999999,141.196,141.29599999999999,34220
2026-06-12T01:48:00+00:00,141.39599999999999,141.39699999999999,141.297,141.297,24800
2026-06-12T01:50:00+00:00,141.29599999999999,141.29599999999999,141.09700000000001,141.09700000000001,7440
2026-06-12T01:51:00+00:00,141.197,141.29599999999999,141.197,141.29599999999999,4960
2026-06-12T01:52:00+00:00,141.39699999999999,141.39699999999999,141.39699999999999,141.39699999999999,2480
2026-06-12T01:55:00+00:00,141.49600000000001,141.696,141.49600000000001,141.696,13960
2026-06-12T01:57:00+00:00,141.596,141.596,141.596,141.596,2480
2026-06-12T01:58:00+00:00,141.596,141.59700000000001,141.596,141.59700000000001,4960
2026-06-12T01:59:00+00:00,141.59700000000001,141.59700000000001,141.49700000000001,141.49700000000001,4960
2026-06-12T02:00:00+00:00,141.39599999999999,141.39599999999999,141.39599999999999,141.39599999999999,4960
2026-06-12T02:01:00+00:00,141.49600000000001,141.49700000000001,141.49600000000001,141.49700000000001,4960
2026-06-12T02:02:00+00:00,141.39599999999999,141.49600000000001,141.29599999999999,141.39599999999999,52920
2026-06-12T02:05:00+00:00,141.297,141.297,141.297,141.297,2480
2026-06-12T02:07:00+00:00,141.39599999999999,141.39599999999999,141.39599999999999,141.39599999999999,2480
2026-06-12T02:08:00+00:00,141.39599999999999,141.39599999999999,141.29599999999999,141.29599999999999,11480
2026-06-12T02:10:00+00:00,141.39699999999999,141.39699999999999,141.39699999999999,141.39699999999999,2480
2026-06-12T02:11:00+00:00,141.49600000000001,141.596,141.49600000000001,141.596,6200
2026-06-12T02:12:00+00:00,141.697,141.697,141.59700000000001,141.59700000000001,4960
2026-06-12T02:15:00+00:00,141.49700000000001,141.59700000000001,141.49700000000001,141.59700000000001,4960
2026-06-12T02:18:00+00:00,141.596,141.596,141.39599999999999,141.39599999999999,22960
2026-06-12T02:19:00+00:00,141.49600000000001,141.49600000000001,141.49600000000001,141.49600000000001,2480
2026-06-12T02:21:00+00:00,141.59700000000001,141.59700000000001,141.49700000000001,141.49700000000001,13960
2026-06-12T02:22:00+00:00,141.49700000000001,141.59700000000001,141.49600000000001,141.49700000000001,14880
2026-06-12T02:25:00+00:00,141.39699999999999,141.39699999999999,141.39699999999999,141.39699999999999,2480
2026-06-12T02:26:00+00:00,141.297,141.297,141.297,141.297,2480
2026-06-12T02:27:00+00:00,141.29599999999999,141.29599999999999,141.196,141.196,16440
2026-06-12T02:30:00+00:00,141.297,141.297,141.196,141.196,29260
2026-06-12T02:31:00+00:00,141.197,141.39699999999999,141.196,141.29599999999999,39180
2026-06-12T02:32:00+00:00,141.196,141.29599999999999,141.196,141.29599999999999,25220
2026-06-12T02:37:00+00:00,141.39599999999999,141.49700000000001,141.39599999999999,141.49700000000001,7440
2026-06-12T02:38:00+00:00,141.596,141.696,141.596,141.59700000000001,21400
2026-06-12T02:41:00+00:00,141.49700000000001,141.49700000000001,141.49700000000001,141.49700000000001,20260
2026-06-12T02:47:00+00:00,141.596,141.596,141.596,141.596,11480
2026-06-12T02:53:00+00:00,141.697,141.697,141.697,141.697,2480
2026-06-12T02:55:00+00:00,141.79599999999999,141.79599999999999,141.79599999999999,141.79599999999999,2480
2026-06-12T02:57:00+00:00,141.696,141.797,141.696,141.797,4960
2026-06-12T02:58:00+00:00,141.697,141.697,141.697,141.697,2480
2026-06-12T02:59:00+00:00,141.79599999999999,141.797,141.696,141.696,7440
2026-06-12T03:05:00+00:00,141.59700000000001,141.59700000000001,141.596,141.59700000000001,20260
2026-06-12T03:06:00+00:00,141.49600000000001,141.49600000000001,141.49600000000001,141.49600000000001,2480
2026-06-12T03:12:00+00:00,141.49600000000001,141.49600000000001,141.39599999999999,141.39599999999999,11480
2026-06-12T03:13:00+00:00,141.297,141.39699999999999,141.29599999999999,141.39699999999999,30180
2026-06-12T03:15:00+00:00,141.297,141.297,141.297,141.297,2480
2026-06-12T03:18:00+00:00,141.39500000000001,141.39699999999999,141.39500000000001,141.39699999999999,11480
2026-06-12T03:22:00+00:00,141.49600000000001,141.49600000000001,141.49600000000001,141.49600000000001,2480
2026-06-12T03:25:00+00:00,141.59700000000001,141.59700000000001,141.596,141.596,4960
2026-06-12T03:28:00+00:00,141.697,141.697,141.697,141.697,4960
2026-06-12T03:35:00+00:00,141.79599999999999,141.79599999999999,141.79599999999999,141.79599999999999,2480
2026-06-12T03:36:00+00:00,141.696,141.697,141.696,141.697,7440
2026-06-12T03:38:00+00:00,141.697,141.89699999999999,141.696,141.79599999999999,12400
2026-06-12T03:50:00+00:00,141.696,141.79599999999999,141.696,141.79599999999999,9920
2026-06-12T03:52:00+00:00,141.696,141.697,141.696,141.697,20260
2026-06-12T03:55:00+00:00,141.696,141.79599999999999,141.696,141.79599999999999,20260
2026-06-12T05:00:00+00:00,141.79599999999999,142.196,141.79599999999999,141.79599999999999,84460
2026-06-12T05:01:00+00:00,141.89599999999999,141.89599999999999,141.89599999999999,141.89599999999999,2480
2026-06-12T05:02:00+00:00,141.89599999999999,141.89599999999999,141.79599999999999,141.89599999999999,40740
